,carat,cut,color,clarity,depth,table,price,x,y,z
8080,0.31,Premium,E,SI1,59.1,59.0,698,4.44,4.42,2.62
8081,0.56,Ideal,D,VS2,62.2,56.0,2066,5.28,5.24,3.27
8082,1.01,Fair,D,SI1,64.4,61.0,5147,6.17,6.13,3.96
8083,0.27,Very Good,D,VVS2,59.9,59.0,620,4.23,4.28,2.55
8084,0.32,Ideal,E,VS2,62.2,56.0,702,4.37,4.41,2.73
8085,0.53,Premium,H,VS2,59.4,59.0,1428,5.31,5.27,3.14
8086,0.23,Ideal,G,SI1,61.2,56.0,375,3.97,4.0,2.44
8087,1.02,Premium,H,VS2,61.2,58.0,5312,6.5,6.47,3.97
8088,1.7,Fair,H,SI2,64.5,55.0,9682,7.58,7.52,4.87
8089,1.31,Ideal,H,SI1,60.8,56.0,7519,7.12,7.08,4.32
8090,0.9,Very Good,I,SI2,60.9,63.0,2704,6.21,6.13,3.76
8091,0.7,Premium,H,VS2,60.7,59.0,2394,5.66,5.68,3.44
8092,1.59,Ideal,I,SI1,60.2,57.0,9813,7.56,7.72,4.6
8093,1.52,Ideal,E,VS2,62.4,55.0,15488,7.42,7.32,4.6
8094,0.43,Premium,G,VS2,61.1,58.0,1113,4.88,4.84,2.97
8095,0.53,Ideal,G,VVS2,61.8,58.0,1941,5.18,5.2,3.21
8096,0.7,Very Good,E,SI1,61.9,60.0,2496,5.6,5.67,3.49
8097,0.33,Premium,G,VS2,59.3,61.0,743,4.51,4.49,2.67
8098,0.41,Ideal,F,VVS1,61.8,57.0,1295,4.75,4.79,2.95
8099,0.53,Ideal,E,VS1,60.1,57.0,2143,5.25,5.31,3.17
8100,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78
8101,1.0,Fair,I,I1,66.9,57.0,1997,6.15,6.03,4.09
8102,1.2,Very Good,J,SI2,61.4,55.0,4636,6.85,6.92,4.23
8103,1.01,Premium,G,VS2,61.2,57.0,5701,6.46,6.41,3.94
8104,0.31,Ideal,E,VVS2,62.4,53.0,791,4.33,4.35,2.71
8105,1.08,Fair,E,SI2,64.9,60.0,3861,6.43,6.39,4.16
8106,1.01,Premium,G,VS2,62.0,59.0,6108,6.41,6.36,3.96
8107,0.42,Very Good,H,VS2,62.9,56.0,773,4.72,4.79,2.99
8108,1.01,Ideal,D,VVS2,61.6,57.0,12996,6.44,6.48,3.98
8109,0.72,Ideal,F,VVS1,62.0,56.0,4252,5.73,5.75,3.56
8110,0.29,Ideal,F,VVS2,61.1,58.0,715,4.26,4.28,2.61
8111,0.58,Premium,H,SI2,59.0,61.0,1066,5.45,5.42,3.21
8112,1.11,Very Good,H,SI2,63.2,58.0,4973,6.64,6.53,4.16
8113,0.82,Ideal,G,SI1,60.7,57.0,3123,6.07,6.06,3.68
8114,0.4,Premium,E,SI1,62.0,61.0,882,4.71,4.67,2.91
8115,0.51,Ideal,F,VS1,62.5,55.0,1836,5.13,5.08,3.19
8116,1.5,Premium,G,SI1,61.2,58.0,9645,7.34,7.44,4.52
8117,0.31,Ideal,G,VVS2,60.8,56.0,907,4.4,4.38,2.67
8118,0.3,Very Good,F,IF,62.4,56.0,886,4.28,4.31,2.68
8119,0.7,Ideal,H,SI2,61.6,56.0,2202,5.69,5.71,3.51
8120,0.32,Premium,I,VS1,61.3,58.0,505,4.35,4.39,2.68
8121,0.4,Ideal,H,SI1,61.8,57.0,896,4.75,4.77,2.94
8122,0.51,Ideal,D,VS2,61.2,55.0,1882,5.17,5.13,3.15
8123,1.06,Ideal,G,VS2,61.9,55.0,6728,6.54,6.57,4.06
8124,1.51,Good,D,VS2,59.8,65.0,12709,7.36,7.43,4.42
8125,1.5,Good,E,VS2,63.9,58.0,13846,7.21,7.19,4.6
8126,1.15,Ideal,H,VS1,62.7,57.0,7123,6.68,6.64,4.17
8127,0.55,Very Good,H,VS2,60.2,59.0,1327,5.36,5.24,3.19
8128,0.83,Very Good,D,IF,59.7,53.0,7889,6.14,6.23,3.69
8129,0.38,Very Good,E,VVS1,60.0,59.0,1053,4.66,4.68,2.8
8130,0.41,Ideal,I,VVS1,61.8,55.0,1107,4.79,4.76,2.95
8131,0.77,Fair,D,SI2,65.1,63.0,1651,5.71,5.65,3.7
8132,0.7,Ideal,D,VS1,61.5,57.0,4323,5.68,5.71,3.5
8133,0.33,Very Good,F,VVS2,61.1,56.0,739,4.46,4.48,2.73
8134,0.4,Ideal,G,SI1,60.1,56.0,1084,4.8,4.85,2.9
8135,1.06,Very Good,G,IF,61.2,57.0,8415,6.52,6.56,4.0
8136,0.39,Ideal,E,VVS1,62.1,54.0,1183,4.67,4.7,2.91
8137,0.34,Ideal,F,VS2,62.5,55.0,686,4.48,4.51,2.81
8138,0.4,Ideal,E,SI1,61.2,57.0,737,4.7,4.74,2.89
8139,0.71,Ideal,G,SI1,61.9,56.0,3007,5.73,5.76,3.55
8140,0.56,Ideal,D,VS1,61.7,56.0,2026,5.33,5.3,3.28
8141,1.25,Ideal,G,SI1,60.7,56.0,8226,6.98,7.05,4.26
8142,2.15,Premium,H,SI2,62.8,58.0,17221,8.22,8.17,5.15
8143,0.3,Very Good,E,IF,62.8,54.0,930,4.3,4.33,2.71
8144,0.38,Premium,F,VVS1,61.6,58.0,1257,4.66,4.63,2.86
8145,0.33,Fair,H,VVS2,65.1,59.0,922,4.4,4.32,2.84
8146,1.51,Very Good,H,VS2,60.9,54.0,11077,7.38,7.41,4.5
8147,0.33,Ideal,G,VS1,62.1,55.0,854,4.46,4.43,2.76
8148,0.32,Very Good,E,VVS1,60.4,57.0,917,4.42,4.46,2.68
8149,0.25,Very Good,D,VVS2,62.8,56.0,548,4.0,4.03,2.52
8150,1.31,Ideal,H,VS1,61.5,56.0,8429,7.0,7.06,4.32
8151,3.0,Good,I,I1,57.0,64.0,10863,9.38,9.31,5.33
8152,0.42,Ideal,D,VS2,62.2,55.0,1103,4.8,4.75,2.97
8153,1.5,Very Good,H,SI2,63.3,57.0,6770,7.27,7.21,4.59
8154,0.42,Premium,F,VVS2,59.6,59.0,1221,4.86,4.83,2.89
8155,0.5,Very Good,F,SI1,62.3,60.0,1250,5.07,5.11,3.17
8156,1.73,Premium,J,SI1,60.7,58.0,9105,7.73,7.78,4.71
8157,0.33,Very Good,G,VVS2,60.0,63.0,965,4.49,4.45,2.68
8158,1.22,Premium,G,VS2,61.8,58.0,8362,6.91,6.84,4.25
8159,0.72,Very Good,H,SI2,61.0,56.0,1953,5.75,5.8,3.52
8160,1.0,Very Good,F,SI2,62.9,56.0,4255,6.36,6.42,4.02
8161,1.51,Very Good,G,VS2,62.8,57.0,11923,7.25,7.3,4.57
8162,0.36,Premium,H,VS2,60.9,59.0,729,4.62,4.58,2.8
8163,0.7,Very Good,F,SI1,62.8,57.0,2250,5.61,5.66,3.54
8164,1.35,Ideal,G,I1,62.5,57.0,4560,7.01,7.04,4.39
8165,0.44,Good,J,VS1,63.1,57.0,694,4.83,4.87,3.06
8166,0.34,Ideal,F,VS2,61.6,57.0,880,4.53,4.47,2.77
8167,0.9,Very Good,E,SI1,63.2,58.0,4560,6.12,6.1,3.86
8168,1.19,Ideal,H,SI1,62.0,56.4,6275,6.77,6.81,4.2
8169,1.73,Very Good,I,SI2,62.0,58.0,9292,7.6,7.69,4.74
8170,1.01,Very Good,G,SI2,63.1,55.0,3507,6.36,6.31,4.0
8171,0.73,Premium,F,SI1,58.7,59.0,2644,5.97,5.92,3.49
8172,0.72,Ideal,E,VS2,62.8,57.0,2835,5.71,5.73,3.59
8173,0.37,Very Good,D,SI1,62.3,56.0,681,4.61,4.64,2.88
8174,0.73,Fair,D,VS1,66.0,54.0,3047,5.56,5.66,3.7
8175,0.38,Ideal,E,VVS2,61.6,55.0,1176,4.72,4.67,2.89
8176,1.1,Ideal,I,VS1,60.8,58.0,5291,6.68,6.63,4.04
8177,0.91,Ideal,F,SI2,62.2,56.0,3746,6.17,6.14,3.83
8178,1.54,Ideal,I,VS2,61.9,55.8,9998,7.38,7.43,4.58
8179,0.72,Very Good,F,SI1,61.1,54.0,2673,5.82,5.84,3.56
8180,1.01,Very Good,H,SI1,63.1,59.0,4836,6.36,6.32,4.0
8181,1.11,Ideal,G,VS1,62.8,55.0,8129,6.6,6.65,4.16
8182,0.39,Very Good,G,VS1,62.7,58.0,798,4.63,4.69,2.92
8183,1.25,Premium,H,SI2,60.5,61.0,4200,6.97,6.91,4.2
8184,1.23,Ideal,F,SI2,62.1,57.0,4819,6.83,6.8,4.23
8185,1.11,Ideal,E,VS2,62.2,56.0,7459,6.66,6.59,4.12
8186,1.0,Premium,G,SI1,61.8,59.0,4256,6.43,6.38,3.96
8187,1.53,Ideal,I,SI2,62.4,54.0,7859,7.34,7.41,4.6
8188,0.56,Very Good,E,SI1,60.2,57.0,1440,5.36,5.4,3.24
8189,1.38,Premium,H,SI2,62.1,60.0,6646,7.13,7.08,4.41
8190,0.34,Ideal,D,VS1,61.4,56.0,749,4.5,4.53,2.77
8191,1.1,Very Good,G,IF,59.8,56.0,9053,6.75,6.82,4.06
8192,0.31,Ideal,F,VS2,61.8,53.0,591,4.36,4.38,2.7
8193,0.41,Premium,I,VVS1,61.9,57.0,1107,4.82,4.78,2.97
8194,0.41,Ideal,D,SI1,62.7,56.0,791,4.73,4.78,2.98
8195,0.54,Premium,I,SI2,61.2,60.0,1013,5.22,5.2,3.19
8196,0.76,Ideal,G,VS1,61.6,56.0,3372,5.82,5.87,3.6
8197,0.41,Very Good,E,SI1,61.4,56.0,755,4.77,4.81,2.94
8198,1.01,Good,E,SI2,63.9,58.0,3546,6.31,6.37,4.05
8199,1.51,Premium,F,VS2,62.0,62.0,13771,7.35,7.23,4.52
8200,0.33,Premium,E,SI1,60.9,58.0,743,4.5,4.46,2.73
8201,0.77,Good,H,SI2,58.6,64.0,2262,6.01,5.93,3.5
8202,0.76,Ideal,D,VVS2,62.3,57.0,4150,5.87,5.84,3.65
8203,0.91,Premium,E,VS2,61.1,58.0,5055,6.28,6.2,3.81
8204,0.53,Very Good,F,VS1,60.6,57.0,1607,5.21,5.25,3.17
8205,0.5,Premium,I,SI1,61.7,58.0,1059,5.15,5.09,3.16
8206,0.71,Ideal,G,VS2,61.3,56.0,2803,5.75,5.71,3.51
8207,0.73,Very Good,G,SI2,62.6,56.0,1986,5.77,5.79,3.62
8208,0.3,Very Good,G,VVS1,63.5,57.0,1013,4.27,4.23,2.7
8209,0.7,Very Good,I,VVS1,60.9,60.0,2421,5.68,5.71,3.47
8210,0.9,Good,D,SI2,60.3,64.0,3473,6.14,6.1,3.69
8211,0.34,Premium,F,SI1,59.4,62.0,727,4.59,4.54,2.71
8212,0.36,Ideal,D,VS1,60.8,57.0,1094,4.59,4.62,2.8
8213,0.56,Premium,D,SI1,61.0,60.0,1605,5.28,5.25,3.21
8214,0.3,Ideal,F,VVS2,62.5,56.0,694,4.28,4.33,2.69
8215,0.56,Ideal,G,VS2,61.0,57.0,1698,5.34,5.32,3.25
8216,0.34,Very Good,I,SI1,61.3,61.0,447,4.45,4.49,2.74
8217,0.5,Good,D,VS2,63.7,56.0,1635,5.05,5.09,3.23
8218,2.14,Ideal,E,SI2,62.7,55.0,13065,8.26,8.21,5.16
8219,1.12,Ideal,I,VVS2,61.6,54.0,6317,6.72,6.74,4.14
8220,0.92,Premium,F,SI1,61.8,59.0,3967,6.25,6.21,3.85
8221,1.04,Ideal,H,VS1,62.5,53.0,6368,6.5,6.52,4.07
8222,0.76,Premium,D,VS2,61.7,59.0,3581,5.87,5.9,3.63
8223,0.32,Ideal,D,SI2,61.4,56.0,612,4.46,4.43,2.73
8224,0.71,Fair,F,SI1,59.8,70.0,2458,5.89,5.72,3.48
8225,0.71,Premium,F,VS2,61.0,59.0,2571,5.72,5.69,3.48
8226,0.57,Ideal,F,IF,61.8,54.0,2974,5.33,5.35,3.3
8227,0.7,Premium,I,VVS1,61.2,59.0,2536,5.69,5.65,3.47
8228,1.04,Ideal,F,VS2,61.1,57.0,7508,6.52,6.54,3.99
8229,0.51,Ideal,G,VS2,62.9,54.0,1546,5.12,5.08,3.21
8230,1.2,Fair,I,I1,65.1,55.0,2376,6.65,6.59,4.31
8231,0.4,Ideal,E,VS2,62.1,54.0,854,4.72,4.75,2.94
8232,0.5,Ideal,D,VS1,62.2,54.4,2033,5.07,5.11,3.16
8233,0.41,Ideal,G,VS2,62.7,56.0,1061,4.76,4.71,2.97
8234,1.01,Premium,F,VS2,59.9,61.0,6097,6.5,6.46,3.88
8235,1.05,Ideal,F,VVS1,61.6,55.0,10872,6.57,6.53,4.04
8236,0.53,Ideal,G,IF,62.7,56.0,2137,5.23,5.13,3.25
8237,0.3,Very Good,F,VS1,61.5,56.0,654,4.31,4.34,2.66
8238,0.36,Ideal,E,VS1,61.6,57.0,852,4.54,4.58,2.81
8239,1.1,Very Good,F,SI1,58.9,63.0,5769,6.73,6.78,3.98
8240,0.31,Ideal,E,VS2,62.0,55.0,680,4.33,4.35,2.69
8241,1.12,Ideal,F,VVS2,62.2,55.0,10949,6.64,6.68,4.14
8242,0.45,Premium,F,VS1,62.1,59.0,1229,4.85,4.81,3.0
8243,0.61,Ideal,F,SI2,62.3,57.0,1303,5.38,5.44,3.37
8244,0.3,Premium,H,SI1,61.2,60.0,421,4.29,4.31,2.63
8245,1.33,Very Good,H,SI2,60.8,59.0,6071,7.07,7.11,4.31
8246,0.36,Premium,D,SI2,60.0,58.0,689,4.62,4.58,2.76
8247,0.35,Premium,D,VVS1,60.8,58.0,1247,4.55,4.53,2.76
8248,0.71,Very Good,J,SI1,59.7,57.0,1979,5.84,5.88,3.5
8249,0.3,Ideal,H,VS2,61.4,55.0,491,4.34,4.36,2.67
8250,1.02,Very Good,F,VS1,61.3,58.0,7740,6.46,6.52,3.98
8251,1.18,Premium,I,SI1,60.5,59.0,4956,6.9,6.82,4.15
8252,0.41,Premium,I,VVS2,62.4,60.0,1061,4.73,4.7,2.94
8253,0.33,Ideal,E,VVS1,61.9,57.0,1312,4.43,4.46,2.75
8254,0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48
8255,1.57,Ideal,I,VS2,60.4,58.0,10964,7.55,7.59,4.57
8256,1.21,Premium,G,VS2,63.0,58.0,7318,6.72,6.67,4.22
8257,0.77,Fair,F,VS1,66.8,57.0,3031,5.66,5.76,3.82
8258,0.37,Ideal,E,VS2,62.3,56.0,811,4.56,4.59,2.85
8259,0.79,Very Good,G,SI1,60.9,63.0,2394,5.89,5.84,3.57
8260,0.72,Ideal,G,SI2,62.1,55.3,2089,5.72,5.74,3.56
8261,1.22,Ideal,F,VS1,62.2,57.0,9633,6.85,6.81,4.25
8262,0.35,Very Good,D,SI1,63.3,57.0,827,4.53,4.51,2.86
8263,0.72,Ideal,F,SI1,62.0,55.0,2737,5.76,5.78,3.58
8264,0.41,Very Good,E,SI1,61.5,61.0,705,4.75,4.78,2.93
8265,0.52,Premium,F,SI1,59.5,59.0,1338,5.31,5.24,3.14
8266,0.3,Ideal,G,VVS2,62.7,57.0,684,4.26,4.32,2.69
8267,0.74,Ideal,E,VS2,61.7,56.0,3315,5.86,5.81,3.6
8268,0.32,Premium,I,VS1,59.8,60.0,648,4.46,4.44,2.66
8269,1.03,Fair,G,SI1,66.1,56.0,3052,6.26,6.2,4.12
8270,1.75,Ideal,I,SI1,61.8,56.0,13393,7.67,7.71,4.75
8271,1.1,Ideal,H,VS2,62.7,56.0,6344,6.58,6.63,4.14
8272,1.21,Premium,H,SI1,59.8,58.0,6573,6.95,6.9,4.14
8273,0.25,Ideal,H,VVS1,62.4,55.0,525,4.04,4.08,2.53
8274,1.01,Very Good,I,SI1,63.5,59.0,4412,6.36,6.31,4.02
8275,0.35,Good,H,SI1,63.3,54.0,504,4.51,4.53,2.86
8276,1.0,Ideal,G,VS2,58.9,60.0,6235,6.53,6.58,3.86
8277,1.01,Ideal,G,SI1,62.6,56.0,5576,6.41,6.44,4.02
8278,1.7,Very Good,E,VS2,58.6,60.0,18107,7.91,7.82,4.61
8279,0.52,Ideal,F,VS1,62.2,55.0,1872,5.18,5.14,3.21
8280,2.0,Very Good,H,SI1,62.2,57.0,15745,7.97,8.08,4.99
8281,1.22,Premium,H,VS2,62.4,58.0,6934,6.84,6.79,4.25
8282,1.36,Very Good,D,VVS2,62.6,58.0,14236,7.06,7.21,4.47
8283,0.55,Ideal,F,VS2,61.1,56.0,1819,5.31,5.27,3.23
8284,0.3,Ideal,G,VVS1,62.1,56.0,1094,4.35,4.28,2.68
8285,0.51,Ideal,F,SI1,61.3,56.0,1406,5.19,5.16,3.17
8286,0.9,Premium,H,VS2,60.4,59.0,4246,6.27,6.24,3.78
8287,0.3,Premium,E,SI2,62.7,59.0,540,4.26,4.22,2.66
8288,0.32,Good,D,SI1,63.7,55.0,550,4.31,4.33,2.75
8289,0.93,Very Good,H,SI2,61.9,57.0,3452,6.25,6.31,3.89
8290,0.51,Ideal,G,VVS2,61.6,56.0,1750,5.12,5.14,3.16
8291,0.48,Ideal,G,SI1,61.6,55.0,1145,5.06,5.1,3.13
8292,0.71,Premium,F,VS1,62.1,53.0,2961,5.77,5.7,3.56
8293,0.71,Ideal,G,VVS2,60.7,57.0,2843,5.81,5.78,3.52
8294,0.6,Ideal,E,VS1,61.6,55.0,2442,5.43,5.48,3.36
8295,0.48,Good,G,VS1,57.8,60.9,1262,5.12,5.19,2.97
8296,0.31,Good,G,VS2,63.2,58.0,507,4.28,4.3,2.71
8297,1.2,Good,H,SI2,62.2,62.0,5082,6.69,6.75,4.18
8298,0.91,Ideal,E,SI2,61.1,58.0,3723,6.25,6.29,3.83
8299,1.51,Very Good,F,VVS2,63.1,56.0,17317,7.32,7.26,4.6
8300,0.9,Premium,H,SI1,62.8,62.0,3387,6.09,6.05,3.81
8301,0.23,Very Good,E,VVS1,62.9,59.0,530,3.93,3.95,2.48
8302,1.21,Ideal,I,VS1,62.2,54.5,6418,6.81,6.86,4.25
8303,0.53,Premium,F,SI1,62.2,58.0,1266,5.19,5.16,3.22
8304,1.69,Ideal,H,I1,62.0,56.0,6636,7.61,7.66,4.73
8305,1.0,Ideal,I,VS1,60.4,55.0,5385,6.49,6.52,3.93
8306,0.65,Ideal,H,IF,61.5,55.0,3065,5.6,5.62,3.45
8307,0.39,Ideal,G,VVS2,61.1,56.0,974,4.7,4.72,2.88
8308,0.29,Very Good,D,VVS2,62.9,58.0,664,4.2,4.29,2.67
8309,0.9,Very Good,G,SI2,64.2,60.0,3437,6.02,6.09,3.89
8310,0.46,Premium,E,VS1,62.0,58.0,1294,4.95,4.98,3.08
8311,0.3,Ideal,F,VS2,62.0,55.0,776,4.33,4.31,2.68
8312,0.86,Premium,E,SI1,61.9,61.0,3323,6.07,5.99,3.73
8313,1.03,Premium,D,SI1,63.0,59.0,5653,6.44,6.39,4.04
8314,1.23,Premium,H,VS2,59.5,59.0,7431,7.08,7.01,4.19
8315,1.24,Ideal,H,VS1,63.0,55.0,5055,6.84,6.81,4.3
8316,0.6,Very Good,F,SI1,63.2,57.0,1599,5.39,5.33,3.39
8317,0.4,Very Good,E,VS1,60.5,61.0,1053,4.72,4.74,2.86
8318,0.52,Very Good,D,VS2,59.4,61.0,1701,5.23,5.24,3.11
8319,0.74,Ideal,E,SI2,59.2,59.0,2501,5.92,5.97,3.52
8320,1.31,Ideal,G,VVS1,61.9,55.0,13406,7.03,7.05,4.36
8321,0.9,Good,H,VS1,64.0,59.0,3669,6.05,6.01,3.86
8322,0.36,Ideal,H,VVS2,61.3,55.0,705,4.62,4.64,2.84
8323,0.36,Ideal,E,VS1,62.0,55.0,828,4.58,4.6,2.85
8324,1.5,Good,E,SI1,64.1,56.0,8820,7.21,7.14,4.6
8325,0.3,Ideal,F,VVS1,61.9,56.0,802,4.29,4.33,2.67
8326,1.11,Ideal,E,SI1,62.5,54.0,6737,6.62,6.63,4.13
8327,1.0,Premium,F,SI1,59.7,60.0,4851,6.48,6.51,3.88
8328,0.31,Premium,G,VS1,61.2,59.0,625,4.35,4.37,2.67
8329,1.31,Ideal,G,VS1,62.2,56.0,10071,7.05,7.01,4.37
8330,0.48,Ideal,H,SI1,61.2,56.0,927,5.06,5.1,3.11
8331,0.4,Ideal,E,SI2,62.6,54.0,644,4.68,4.71,2.94
8332,0.23,Ideal,G,IF,62.8,55.0,536,3.93,3.96,2.48
8333,0.31,Premium,H,VVS2,61.2,59.0,625,4.34,4.38,2.67
8334,1.24,Very Good,H,SI2,64.0,56.0,5725,6.79,6.83,4.36
8335,1.72,Premium,H,VS2,61.3,59.0,13486,7.69,7.72,4.72
8336,0.9,Ideal,D,SI1,61.3,58.0,4661,6.16,6.21,3.79
8337,0.4,Premium,E,SI1,60.9,56.0,945,4.8,4.76,2.91
8338,0.42,Very Good,E,VVS1,60.5,55.0,1365,4.85,4.9,2.95
8339,0.33,Very Good,F,VVS1,62.0,56.0,859,4.41,4.44,2.74
8340,0.41,Premium,E,VS1,62.3,59.0,1079,4.74,4.76,2.96
8341,0.7,Ideal,D,SI2,60.4,56.0,2551,5.78,5.81,3.5
8342,0.5,Very Good,G,VVS2,60.9,61.0,1838,5.11,5.13,3.12
8343,0.4,Ideal,F,VVS2,61.5,59.0,1015,4.75,4.81,2.94
8344,0.42,Ideal,D,SI2,62.0,54.0,660,4.8,4.85,2.99
8345,0.41,Ideal,F,VS2,61.8,56.0,1107,4.8,4.78,2.96
8346,1.13,Ideal,D,VS1,61.4,55.0,9448,6.72,6.74,4.13
8347,1.02,Ideal,I,SI1,61.9,55.0,3983,6.43,6.46,3.99
8348,1.06,Ideal,G,VS1,61.4,56.0,7589,6.55,6.58,4.03
8349,0.31,Ideal,G,VVS1,61.7,57.0,1046,4.38,4.34,2.69
8350,1.03,Ideal,F,VVS2,62.4,55.6,9290,6.44,6.49,4.02
8351,0.38,Ideal,E,VVS2,60.9,56.0,1068,4.71,4.68,2.06
8352,1.24,Fair,F,SI2,64.9,60.0,4375,6.7,6.63,4.32
8353,0.34,Premium,G,SI1,59.7,59.0,650,4.54,4.5,2.7
8354,1.7,Very Good,J,SI1,59.1,61.0,7713,7.79,7.85,4.62
8355,0.32,Premium,G,VS2,62.8,58.0,720,4.35,4.31,2.72
8356,0.46,Fair,F,SI1,64.9,58.0,1003,4.81,4.77,3.11
8357,0.51,Very Good,D,SI1,60.4,61.0,1425,5.09,5.14,3.09
8358,0.32,Premium,G,VS1,61.7,58.0,645,4.38,4.41,2.71
8359,0.9,Good,F,SI2,61.9,62.0,3267,6.07,6.12,3.77
8360,0.71,Ideal,I,VS2,62.2,55.0,2681,5.71,5.73,3.56
8361,0.9,Premium,G,SI2,60.4,58.0,3445,6.25,6.3,3.79
8362,1.09,Ideal,J,SI1,61.4,55.0,4565,6.61,6.67,4.08
8363,1.51,Ideal,E,SI2,62.6,53.0,10147,7.4,7.32,4.61
8364,0.72,Ideal,F,VVS2,60.9,56.0,3780,5.83,5.77,3.53
8365,0.53,Very Good,E,SI2,58.3,62.0,1160,5.3,5.36,3.11
8366,0.41,Ideal,D,SI1,63.0,56.0,920,4.8,4.75,3.01
8367,0.71,Very Good,H,SI2,63.3,58.0,2055,5.65,5.69,3.59
8368,0.31,Ideal,D,SI2,62.8,53.0,593,4.37,4.35,2.74
8369,0.9,Very Good,E,VS2,63.0,57.0,4643,6.07,6.15,3.85
8370,1.51,Fair,D,SI1,64.1,60.0,9293,7.18,7.11,4.58
8371,0.55,Ideal,D,VVS2,60.8,56.0,3468,5.29,5.32,3.23
8372,1.2,Premium,G,VS1,62.0,58.0,8911,6.76,6.73,4.18
8373,0.51,Ideal,G,VS1,62.4,57.0,1689,5.1,5.13,3.19
8374,0.53,Premium,F,VVS2,61.4,57.0,2290,5.22,5.2,3.2
8375,0.4,Very Good,D,SI1,63.3,57.0,924,4.71,4.68,2.97
8376,0.94,Premium,D,SI1,60.7,60.0,4817,6.32,6.27,3.82
8377,0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64
8378,0.35,Premium,G,IF,60.6,60.0,1116,4.57,4.54,2.76
8379,0.51,Ideal,E,VS2,61.7,54.0,1781,5.18,5.13,3.18
8380,0.3,Ideal,H,VVS1,62.5,53.8,639,4.31,4.33,2.69
8381,1.58,Ideal,H,SI1,62.5,57.0,10345,7.43,7.39,4.63
8382,0.3,Ideal,G,SI1,62.0,55.0,545,4.28,4.3,2.66
8383,0.43,Premium,H,SI2,61.8,59.0,887,4.86,4.85,3.0
8384,1.21,Very Good,H,SI1,63.3,57.0,6058,6.77,6.7,4.26
8385,0.9,Good,I,SI1,63.5,59.0,3176,6.05,6.1,3.86
8386,0.96,Very Good,G,SI2,62.6,59.0,3723,6.18,6.29,3.9
8387,0.7,Very Good,E,VS2,62.8,56.0,2992,5.66,5.68,3.56
8388,0.36,Very Good,H,VVS2,61.3,55.0,668,4.58,4.64,2.81
8389,0.4,Ideal,D,VS2,62.8,57.0,1050,4.72,4.68,2.95
8390,0.9,Good,I,VS2,63.8,55.0,3246,6.16,6.07,3.9
8391,1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
8392,0.71,Ideal,F,SI2,61.6,56.0,2168,5.73,5.67,3.51
8393,1.58,Ideal,H,VS2,62.7,56.0,11262,7.39,7.44,4.65
8394,0.34,Premium,E,SI2,62.5,59.0,612,4.46,4.43,2.78
8395,0.39,Good,J,VS1,63.5,58.0,616,4.59,4.64,2.93
8396,0.9,Very Good,E,VS2,60.4,60.0,4707,6.23,6.29,3.78
8397,0.4,Ideal,H,VS2,61.8,54.5,764,4.74,4.77,2.94
8398,1.5,Very Good,H,SI1,63.4,57.0,7708,7.27,7.23,4.59
8399,0.53,Premium,F,SI2,62.5,57.0,1242,5.17,5.11,3.21
8400,1.51,Ideal,H,IF,62.7,56.0,12437,7.26,7.38,4.59
8401,0.88,Ideal,I,SI1,61.7,56.0,3328,6.14,6.18,3.8
8402,1.26,Premium,E,VS1,60.7,58.0,10367,7.02,7.04,4.27
8403,0.38,Premium,J,SI1,61.3,59.0,658,4.68,4.62,2.85
8404,0.57,Ideal,H,VVS1,61.6,56.0,1961,5.32,5.35,3.28
8405,0.45,Good,F,VS1,57.6,62.5,1144,5.05,5.09,2.91
8406,1.09,Premium,H,SI2,62.1,55.0,4578,6.63,6.58,4.1
8407,1.41,Good,D,SI2,63.9,60.0,7501,7.08,7.0,4.5
8408,1.21,Premium,F,VS1,61.9,58.0,10245,6.82,6.76,4.2
8409,1.54,Premium,G,SI1,63.0,59.0,8176,7.31,7.26,4.59
8410,1.01,Good,G,SI2,63.8,56.0,3620,6.32,6.22,4.0
8411,0.31,Good,G,VS1,63.2,56.0,625,4.29,4.32,2.72
8412,0.43,Premium,E,VS2,61.6,59.0,1048,4.84,4.81,2.97
8413,0.96,Very Good,F,SI1,62.1,62.0,4755,6.24,6.32,3.9
8414,0.5,Ideal,H,SI1,59.2,62.0,1160,5.17,5.2,3.07
8415,1.21,Ideal,I,SI2,60.7,56.0,4880,6.86,6.91,4.18
8416,1.16,Good,H,SI1,64.0,58.0,5576,6.56,6.63,4.22
8417,0.6,Ideal,D,VVS1,61.6,56.0,3570,5.41,5.43,3.34
8418,0.33,Ideal,F,VS2,61.9,55.0,666,4.43,4.46,2.75
8419,0.91,Very Good,H,VS2,62.6,57.0,4922,6.15,6.21,3.87
8420,0.3,Premium,G,VS2,62.6,62.0,630,4.25,4.21,2.65
8421,1.33,Premium,F,SI2,60.7,62.0,5288,7.12,7.07,4.31
8422,0.9,Ideal,H,SI2,62.1,55.0,4001,6.17,6.2,3.84
8423,0.32,Ideal,E,VS1,61.6,57.0,758,4.35,4.39,2.69
8424,0.27,Ideal,H,VVS2,61.9,55.0,496,4.14,4.16,2.57
