,carat,cut,color,depth,table,price,x,y,z
1414,1.01,Ideal,G,63.1,53.0,5430,6.36,6.42,4.03
1415,0.7,Very Good,D,60.4,58.0,3008,5.71,5.78,3.47
1416,0.48,Very Good,E,59.9,58.9,1320,5.07,5.12,3.06
1417,1.23,Ideal,H,60.6,57.0,5951,6.98,6.94,4.22
1418,1.62,Good,I,59.6,65.0,9526,7.69,7.59,4.55
1419,0.41,Ideal,G,60.4,56.0,1007,4.8,4.83,2.91
1420,2.0,Ideal,H,61.6,57.0,13531,8.11,8.08,4.99
1421,0.42,Premium,F,61.8,59.0,1103,4.83,4.81,2.98
1422,1.08,Ideal,G,61.8,58.0,7635,6.56,6.58,4.06
1423,0.3,Premium,H,62.0,58.0,776,4.35,4.3,2.68
1424,0.43,Ideal,I,62.0,55.0,1129,4.85,4.83,3.0
1425,0.2,Premium,F,62.6,59.0,367,3.73,3.71,2.33
1426,0.39,Premium,J,61.3,60.0,746,4.68,4.65,2.86
1427,0.71,Good,F,64.3,57.0,2125,5.62,5.55,3.59
1428,0.7,Ideal,E,62.0,56.0,2061,5.71,5.74,3.55
1429,0.28,Very Good,E,61.4,55.0,612,4.22,4.25,2.6
1430,1.0,Premium,F,59.0,59.0,4144,6.55,6.5,3.85
1431,0.4,Ideal,D,62.0,56.0,1263,4.71,4.74,2.93
1432,0.7,Premium,E,60.7,62.0,2822,5.72,5.68,3.46
1433,0.31,Ideal,I,61.9,54.5,502,4.33,4.36,2.69
1434,0.3,Very Good,J,63.4,55.0,506,4.3,4.25,2.71
1435,1.01,Premium,F,61.3,58.0,6999,6.44,6.52,3.97
1436,0.97,Good,H,62.1,60.0,4020,6.24,6.29,3.89
1437,1.01,Very Good,F,63.5,56.0,3897,6.38,6.35,4.04
1438,0.3,Premium,E,61.9,59.0,844,4.33,4.29,2.67
1439,0.52,Ideal,G,61.5,56.0,1911,5.18,5.2,3.19
1440,0.71,Premium,I,62.0,58.0,2572,5.7,5.65,3.52
1441,0.72,Ideal,H,60.1,56.0,3122,5.85,5.88,3.52
1442,0.61,Ideal,E,61.3,54.0,2823,5.51,5.59,3.4
1443,0.36,Ideal,D,61.6,56.0,1094,4.57,4.55,2.81
1444,0.5,Ideal,G,61.0,57.0,1127,5.13,5.15,3.13
1445,1.7,Ideal,H,61.5,55.0,16240,7.69,7.73,4.74
1446,1.51,Ideal,F,62.5,57.0,10693,7.27,7.32,4.56
1447,0.23,Very Good,F,60.0,57.0,530,4.0,4.04,2.41
1448,1.13,Ideal,F,61.8,54.0,7756,6.72,6.73,4.15
1449,0.41,Premium,D,62.3,61.0,818,4.75,4.72,2.95
1450,1.06,Premium,H,60.0,58.0,5236,6.65,6.61,3.98
1451,0.41,Ideal,D,62.4,56.0,1105,4.75,4.8,2.98
1452,0.9,Good,E,61.6,61.0,3595,6.12,6.16,3.78
1453,2.02,Ideal,I,61.5,58.0,16018,8.19,8.11,5.01
1454,1.7,Very Good,D,60.8,59.0,11431,7.76,7.83,4.75
1455,0.92,Very Good,G,62.3,57.0,5183,6.19,6.27,3.88
1456,0.41,Very Good,D,62.5,60.0,889,4.72,4.75,2.96
1457,1.2,Ideal,G,62.2,56.0,5484,6.84,6.74,4.22
1458,1.27,Ideal,G,61.8,56.0,6045,6.96,6.93,4.29
1459,0.46,Good,E,60.7,62.0,1778,4.97,5.01,3.03
1460,1.2,Ideal,D,61.9,56.0,16130,6.81,6.83,4.22
1461,1.43,Premium,F,61.5,58.0,8809,7.27,7.22,4.45
1462,1.51,Good,J,63.5,60.0,7848,7.23,7.29,4.61
1463,0.56,Ideal,F,62.1,57.0,1814,5.29,5.28,3.28
1464,1.51,Premium,J,63.0,58.0,7441,7.32,7.28,4.6
1465,1.72,Premium,H,61.4,59.0,12998,7.71,7.64,4.71
1466,0.41,Ideal,F,61.4,56.0,1192,4.81,4.76,2.94
1467,0.71,Premium,F,62.4,59.0,2686,5.71,5.66,3.55
1468,0.35,Ideal,F,61.9,55.0,782,4.53,4.58,2.82
1469,1.25,Ideal,H,60.8,57.0,8789,6.95,6.99,4.24
1470,1.01,Very Good,G,61.9,58.0,7188,6.38,6.44,3.97
1471,1.17,Good,D,57.4,59.0,3866,7.02,6.95,4.01
1472,0.38,Premium,D,58.7,61.0,1117,4.77,4.74,2.79
1473,0.59,Very Good,E,60.0,56.0,2021,5.46,5.5,3.29
1474,1.11,Ideal,E,61.2,55.0,5262,6.68,6.72,4.1
1475,0.31,Premium,G,62.6,57.0,698,4.32,4.3,2.7
1476,1.63,Ideal,E,60.5,59.0,14022,7.66,7.62,4.62
1477,1.73,Very Good,J,60.9,59.0,9510,7.72,7.76,4.71
1478,0.72,Ideal,D,60.5,56.0,3550,5.79,5.84,3.52
1479,0.51,Ideal,E,62.8,56.0,1733,5.14,5.11,3.22
1480,0.74,Very Good,G,62.8,59.0,2262,5.71,5.76,3.6
1481,0.32,Premium,J,61.7,58.0,421,4.38,4.4,2.71
1482,0.5,Premium,G,61.6,60.0,1935,5.13,5.1,3.15
1483,0.96,Good,H,61.6,59.0,3975,6.24,6.29,3.86
1484,0.31,Ideal,E,62.1,54.2,726,4.31,4.35,2.69
1485,1.54,Very Good,H,62.3,56.0,8301,7.33,7.38,4.58
1486,1.0,Fair,F,65.1,55.0,3265,6.26,6.23,4.07
1487,0.26,Very Good,H,62.5,58.0,468,4.08,4.11,2.56
1488,0.8,Very Good,F,63.6,57.0,3559,5.82,5.91,3.73
1489,0.57,Ideal,H,62.1,57.0,1247,5.32,5.3,3.3
1490,1.51,Ideal,E,61.2,57.0,15025,7.47,7.37,4.54
1491,0.43,Very Good,G,62.9,56.0,863,4.77,4.8,3.01
1492,0.7,Fair,J,67.6,54.0,1691,5.56,5.41,3.71
1493,0.3,Very Good,G,59.8,62.0,737,4.33,4.36,2.6
1494,0.56,Ideal,G,61.0,57.0,2510,5.32,5.36,3.26
1495,0.37,Ideal,G,61.4,56.0,671,4.63,4.65,2.85
1496,0.51,Premium,F,62.4,58.0,1574,5.13,5.1,3.19
1497,0.73,Very Good,E,61.5,57.0,3492,5.78,5.83,3.57
1498,0.33,Ideal,F,61.3,55.0,893,4.46,4.48,2.74
1499,0.53,Premium,D,62.4,59.0,1783,5.14,5.18,3.22
1500,0.51,Good,F,63.2,56.5,1569,5.05,5.08,3.2
1501,0.3,Ideal,E,62.1,58.0,499,4.27,4.29,2.66
1502,0.33,Ideal,G,62.5,57.0,579,4.39,4.41,2.75
1503,1.21,Very Good,H,62.6,58.0,7445,6.71,6.75,4.21
1504,1.01,Premium,G,60.7,60.0,5864,6.49,6.45,3.93
1505,0.41,Very Good,E,62.9,57.0,755,4.73,4.78,2.99
1506,1.6,Ideal,I,62.4,56.0,9901,7.52,7.48,4.68
1507,0.43,Premium,H,62.3,58.0,867,4.75,4.81,2.98
1508,0.3,Premium,G,61.9,58.0,675,4.33,4.3,2.67
1509,0.52,Premium,E,60.9,58.0,1646,5.2,5.18,3.16
1510,0.36,Ideal,D,61.6,57.0,1042,4.56,4.59,2.82
1511,0.4,Premium,E,61.4,59.0,1397,4.74,4.68,2.89
1512,0.7,Fair,J,67.4,58.0,1896,5.34,5.37,3.61
1513,0.3,Premium,F,61.5,60.0,605,4.26,4.29,2.63
1514,1.53,Premium,H,62.5,59.0,8499,7.4,7.36,4.61
1515,0.51,Ideal,E,62.2,57.0,1438,5.08,5.12,3.17
1516,0.4,Ideal,G,62.4,56.0,573,4.71,4.75,2.95
1517,0.91,Very Good,J,63.5,55.0,3082,6.22,6.12,3.92
1518,0.36,Ideal,F,61.7,55.0,1210,4.58,4.62,2.84
1519,1.52,Ideal,G,60.7,57.0,9530,7.38,7.41,4.49
1520,0.43,Premium,F,59.8,58.0,905,4.89,4.94,2.94
1521,0.31,Ideal,D,62.6,57.0,571,4.3,4.33,2.7
1522,0.74,Good,E,62.1,64.0,2366,5.76,5.71,3.56
1523,0.55,Ideal,E,60.3,57.0,1596,5.28,5.3,3.19
1524,0.91,Premium,D,62.8,57.0,4228,6.17,6.12,3.86
1525,0.5,Very Good,D,62.9,59.0,3378,4.99,5.09,3.17
1526,0.4,Ideal,I,62.4,55.0,807,4.7,4.73,2.94
1527,0.3,Ideal,D,61.4,55.0,1041,4.34,4.36,2.67
1528,0.61,Ideal,E,61.8,56.0,2556,5.42,5.46,3.36
1529,0.3,Ideal,H,62.2,55.0,665,4.3,4.32,2.68
1530,1.01,Good,F,63.6,60.0,7059,6.36,6.31,4.03
1531,1.0,Premium,D,61.4,58.0,5775,6.37,6.43,3.93
1532,0.6,Premium,H,62.0,56.0,1433,5.44,5.4,3.36
1533,1.08,Ideal,G,62.7,54.0,3825,6.63,6.57,4.14
1534,0.3,Very Good,H,63.3,59.0,878,4.28,4.22,2.69
1535,1.0,Premium,E,61.6,59.0,9050,6.46,6.42,3.97
1536,1.01,Good,D,64.2,60.0,6066,6.32,6.35,4.07
1537,0.53,Ideal,E,61.5,55.0,1917,5.22,5.24,3.22
1538,1.15,Premium,G,62.5,55.0,4861,6.72,6.68,4.19
1539,1.28,Ideal,G,62.2,56.0,7598,6.96,6.9,4.31
1540,0.58,Ideal,E,60.9,59.0,1698,5.36,5.44,3.29
1541,0.61,Premium,D,61.6,58.0,1614,5.37,5.34,3.3
1542,0.54,Ideal,D,61.2,55.0,2323,5.31,5.25,3.23
1543,0.31,Good,D,63.9,57.0,462,4.28,4.33,2.75
1544,0.36,Ideal,E,61.0,55.0,1131,4.6,4.62,2.81
1545,1.07,Ideal,G,62.0,56.0,7198,6.58,6.52,4.06
1546,0.3,Ideal,F,62.3,53.0,886,4.34,4.36,2.71
1547,0.53,Very Good,D,61.1,55.0,2472,5.22,5.28,3.21
1548,1.15,Premium,I,59.6,58.0,4959,6.86,6.82,4.08
1549,0.41,Ideal,E,62.5,55.0,755,4.73,4.77,2.97
1550,0.43,Premium,F,60.6,59.0,1016,4.87,4.84,2.94
1551,0.57,Ideal,E,61.6,56.0,1851,5.33,5.38,3.3
1552,0.61,Ideal,I,61.9,56.0,2048,5.41,5.45,3.36
1553,1.5,Ideal,G,60.6,57.0,13034,7.47,7.36,4.49
1554,0.3,Ideal,G,62.3,56.0,863,4.31,4.32,2.69
1555,1.06,Very Good,G,61.3,60.0,5435,6.53,6.55,4.01
1556,0.73,Ideal,I,62.1,54.0,2167,5.77,5.8,3.59
1557,0.4,Premium,D,61.7,59.0,982,4.73,4.76,2.93
1558,0.36,Ideal,E,61.4,54.0,835,4.59,4.63,2.83
1559,0.62,Ideal,D,62.2,55.0,2062,5.51,5.45,3.41
1560,1.75,Premium,F,61.4,58.0,17017,7.72,7.76,4.75
1561,0.76,Ideal,I,61.6,54.0,2399,5.86,5.92,3.63
1562,0.42,Ideal,E,61.3,57.0,992,4.81,4.79,2.94
1563,0.43,Very Good,G,62.2,59.0,943,4.81,4.84,3.0
1564,0.32,Ideal,E,62.1,55.0,702,4.4,4.42,2.74
1565,0.91,Very Good,G,62.0,58.0,3387,6.13,6.2,3.82
1566,0.42,Ideal,G,61.4,54.0,962,4.81,4.9,2.98
1567,1.1,Ideal,H,61.4,57.0,6470,6.65,6.64,4.08
1568,2.11,Very Good,E,62.4,61.0,17871,8.1,8.19,5.08
1569,0.42,Very Good,F,60.6,61.0,722,4.83,4.87,2.94
1570,0.5,Very Good,E,63.4,59.0,1629,5.09,5.06,3.22
1571,0.44,Ideal,E,61.8,56.0,1334,4.93,4.88,3.03
1572,1.39,Ideal,G,60.6,55.0,13061,7.27,7.21,4.39
1573,0.37,Premium,F,61.9,59.0,746,4.57,4.61,2.84
1574,0.72,Good,F,63.6,55.0,2421,5.71,5.64,3.61
1575,0.9,Premium,G,60.9,58.0,4183,6.34,6.19,3.79
1576,0.41,Ideal,J,61.7,55.0,613,4.8,4.82,2.97
1577,1.01,Very Good,H,61.0,63.0,5050,6.41,6.38,3.9
1578,0.32,Ideal,G,61.6,56.0,828,4.42,4.38,2.71
1579,1.04,Ideal,H,61.7,55.0,4557,6.49,6.53,4.02
1580,0.72,Very Good,F,62.6,55.0,2440,5.71,5.76,3.59
1581,0.39,Ideal,E,61.3,56.0,911,4.71,4.75,2.9
1582,1.01,Premium,F,62.9,59.0,5288,6.38,6.31,3.99
1583,0.3,Very Good,F,62.1,60.0,500,4.26,4.28,2.65
1584,0.3,Ideal,H,62.1,57.0,491,4.27,4.3,2.66
1585,0.72,Ideal,G,61.7,55.0,3344,5.72,5.79,3.55
1586,0.35,Premium,G,62.2,58.0,1024,4.54,4.49,2.81
1587,1.23,Ideal,J,61.8,56.0,4986,6.87,6.81,4.23
1588,0.93,Ideal,E,62.2,55.0,4374,6.24,6.27,3.89
1589,2.01,Good,E,58.7,59.0,18027,8.23,8.27,4.84
1590,0.79,Ideal,E,62.1,54.0,3053,5.96,5.92,3.69
1591,1.07,Very Good,G,59.9,59.0,4201,6.61,6.67,3.98
1592,0.31,Premium,I,60.7,61.0,558,4.34,4.32,2.63
1593,0.36,Good,H,63.7,55.0,729,4.52,4.49,2.87
1594,1.03,Premium,H,59.2,60.0,5105,6.62,6.58,3.91
1595,1.06,Ideal,H,61.7,60.0,4547,6.53,6.51,4.02
1596,0.9,Very Good,I,63.5,57.0,3484,6.06,6.03,3.84
1597,0.91,Fair,F,64.9,57.0,2971,6.13,6.08,3.96
1598,0.52,Very Good,E,63.3,58.0,1822,5.07,5.11,3.22
1599,0.9,Very Good,I,60.4,58.0,3099,6.25,6.31,3.79
1600,0.8,Very Good,I,61.9,56.0,2473,5.94,5.98,3.69
1601,1.01,Premium,G,61.2,59.0,5131,6.43,6.37,3.92
1602,0.3,Very Good,F,61.6,56.0,694,4.34,4.36,2.68
1603,0.51,Premium,D,59.7,58.0,1882,5.24,5.18,3.11
1604,0.3,Good,G,63.2,57.0,684,4.23,4.28,2.69
1605,0.7,Good,F,63.8,58.0,2919,5.61,5.58,3.57
1606,1.77,Ideal,D,60.9,53.0,10051,7.92,7.85,4.8
1607,1.14,Premium,D,58.9,59.0,6256,6.84,6.78,4.01
1608,0.55,Ideal,D,62.1,56.0,1571,5.21,5.25,3.25
1609,1.02,Very Good,F,59.8,58.0,5500,6.49,6.55,3.9
1610,1.06,Ideal,G,62.3,56.0,7255,6.49,6.54,4.06
1611,0.44,Good,G,58.5,61.0,1407,4.99,5.03,2.93
1612,0.42,Ideal,E,62.2,55.0,958,4.79,4.83,2.99
1613,0.43,Very Good,D,62.9,56.0,760,4.78,4.83,3.02
1614,2.01,Ideal,I,64.8,55.0,15729,7.91,7.87,5.12
1615,1.02,Very Good,E,60.3,60.0,6103,6.58,6.48,3.94
1616,0.54,Ideal,E,61.7,55.0,1754,5.24,5.27,3.24
1617,2.03,Ideal,F,62.4,57.0,12677,8.09,8.02,5.03
1618,0.52,Very Good,F,63.2,57.0,1748,5.09,5.1,3.22
1619,0.39,Premium,G,62.6,58.0,1097,4.7,4.66,2.93
1620,0.51,Ideal,F,62.4,57.0,2093,5.08,5.12,3.18
1621,0.5,Very Good,G,62.2,61.0,1715,5.07,5.09,3.16
1622,1.51,Ideal,I,61.8,56.0,10232,7.37,7.34,4.55
1623,0.47,Very Good,F,61.1,61.0,1021,4.97,5.01,3.05
1624,0.32,Ideal,E,62.0,55.0,804,4.41,4.37,2.72
1625,1.21,Good,J,60.4,56.0,4559,6.84,6.93,4.16
1626,0.71,Premium,E,62.5,57.0,3831,5.67,5.62,3.53
1627,0.77,Ideal,I,61.5,59.0,2798,5.87,5.91,3.62
1628,0.41,Ideal,J,62.2,54.0,613,4.76,4.79,2.97
1629,0.7,Ideal,G,61.0,56.0,3205,5.74,5.77,3.51
1630,0.53,Ideal,G,61.6,57.0,1769,5.15,5.2,3.19
1631,0.9,Ideal,H,61.9,55.0,4101,6.21,6.19,3.84
1632,1.61,Premium,F,60.2,58.0,10477,7.61,7.65,4.59
1633,0.51,Premium,D,60.5,60.0,1882,5.19,5.16,3.13
1634,1.01,Premium,H,62.5,59.0,4642,6.44,6.33,3.99
1635,0.91,Good,H,62.7,62.0,3979,6.11,6.21,3.86
1636,0.9,Very Good,H,62.3,59.0,4328,6.1,6.17,3.82
1637,0.6,Premium,D,61.6,58.0,1896,5.42,5.45,3.35
1638,0.41,Premium,G,60.0,59.0,1230,4.84,4.83,2.9
1639,1.01,Very Good,F,62.0,60.0,8330,6.36,6.39,3.95
1640,0.52,Very Good,G,60.6,61.0,1161,5.17,5.19,3.14
1641,0.33,Ideal,E,60.5,55.0,738,4.52,4.56,2.74
1642,0.54,Very Good,F,61.2,57.4,1311,5.23,5.25,3.21
1643,0.31,Ideal,G,62.6,57.0,988,4.32,4.3,2.7
1644,0.31,Premium,H,61.5,61.0,698,4.34,4.31,2.66
1645,1.23,Ideal,J,63.1,58.0,4959,6.8,6.74,4.27
1646,1.01,Ideal,H,60.2,56.0,4191,6.47,6.42,3.88
1647,1.01,Premium,J,61.8,60.0,3563,6.41,6.37,3.95
1648,0.9,Ideal,H,62.8,57.0,3629,6.16,6.14,3.86
1649,0.25,Very Good,E,57.7,62.0,548,4.16,4.19,2.41
1650,2.14,Premium,I,62.1,58.0,12970,8.31,8.23,5.13
1651,0.23,Ideal,D,62.1,57.0,530,3.92,3.97,2.45
1652,0.31,Very Good,H,58.9,61.0,457,4.43,4.46,2.62
1653,1.76,Ideal,G,60.3,57.0,17442,7.9,7.83,4.74
1654,0.41,Ideal,F,61.9,56.0,863,4.74,4.76,2.94
1655,0.3,Ideal,G,62.3,56.0,432,4.29,4.32,2.68
1656,0.3,Premium,E,62.3,58.0,675,4.32,4.29,2.68
1657,0.3,Very Good,G,60.3,57.0,620,4.33,4.35,2.62
1658,0.73,Very Good,E,59.6,57.0,2359,5.87,5.91,3.51
1659,0.73,Very Good,E,62.3,58.0,3226,5.72,5.74,3.57
1660,0.56,Ideal,G,60.6,56.0,1915,5.36,5.33,3.24
1661,0.26,Ideal,H,62.2,55.0,482,4.08,4.09,2.54
1662,0.34,Ideal,F,59.4,57.0,491,4.54,4.58,2.71
1663,1.55,Premium,J,61.6,58.0,7733,7.39,7.42,4.56
1664,0.34,Very Good,G,61.2,62.0,596,4.44,4.48,2.73
1665,1.01,Ideal,G,62.3,56.0,5006,6.42,6.38,3.99
1666,0.48,Ideal,G,61.9,55.0,1615,5.02,5.06,3.12
1667,0.5,Ideal,E,61.4,55.0,1614,5.13,5.16,3.16
1668,1.5,Ideal,G,62.2,55.0,16948,7.33,7.35,4.57
1669,0.84,Ideal,G,62.0,56.0,2986,6.02,6.05,3.74
1670,0.3,Good,E,63.7,58.0,526,4.24,4.27,2.71
1671,0.41,Good,G,61.0,61.0,986,4.77,4.8,2.92
1672,1.02,Ideal,H,60.5,60.0,4225,6.56,6.53,3.96
1673,0.51,Ideal,H,62.7,54.0,1438,5.12,5.15,3.22
1674,0.31,Ideal,I,62.2,54.0,837,4.39,4.36,2.72
1675,1.22,Premium,G,62.2,59.0,8583,6.82,6.87,4.26
1676,0.24,Ideal,F,61.8,57.0,408,3.97,3.99,2.46
1677,0.24,Very Good,E,60.6,62.0,478,4.03,4.06,2.45
1678,0.31,Premium,E,61.0,60.0,636,4.35,4.37,2.66
1679,0.55,Premium,G,61.5,61.0,1645,5.27,5.23,3.23
1680,0.3,Premium,H,62.4,60.0,630,4.29,4.23,2.66
1681,1.52,Ideal,G,61.8,56.0,14482,7.4,7.45,4.59
1682,0.45,Good,G,58.1,61.2,1154,5.02,5.07,2.93
1683,0.38,Ideal,F,62.1,57.0,1026,4.67,4.61,2.88
1684,0.7,Very Good,D,62.6,57.0,2726,5.67,5.7,3.56
1685,1.5,Very Good,E,62.1,60.0,14256,7.27,7.31,4.53
1686,1.0,Very Good,E,63.2,55.0,7532,6.34,6.29,3.99
1687,0.6,Fair,F,60.1,66.0,2484,5.48,5.44,3.28
1688,1.23,Premium,D,58.0,59.0,4470,7.02,6.97,4.06
1689,2.07,Ideal,G,62.2,54.0,17614,8.16,8.21,5.09
1690,0.52,Ideal,F,61.8,56.0,2216,5.2,5.17,3.2
1691,0.31,Fair,E,55.9,62.0,581,4.6,4.56,2.56
1692,0.37,Ideal,D,61.3,56.0,876,4.6,4.64,2.83
1693,0.7,Good,G,64.0,57.0,2121,5.63,5.58,3.59
1694,0.43,Very Good,I,60.9,55.0,730,4.89,4.99,3.01
1695,0.23,Good,E,64.1,59.0,402,3.83,3.85,2.46
1696,2.04,Premium,J,62.6,58.0,14660,8.11,8.06,5.06
1697,0.9,Fair,J,65.4,60.0,2964,6.02,5.93,3.91
1698,0.51,Ideal,F,61.9,56.0,2098,5.09,5.14,3.16
1699,0.4,Premium,G,62.8,60.0,900,4.7,4.66,2.94
1700,0.32,Ideal,E,61.4,57.0,608,4.4,4.46,2.72
1701,0.38,Premium,D,61.9,60.0,1067,4.62,4.66,2.87
1702,0.55,Very Good,E,59.9,58.0,2656,5.29,5.33,3.18
1703,0.3,Ideal,G,61.6,57.0,432,4.29,4.34,2.66
1704,0.7,Ideal,H,61.8,53.0,2499,5.71,5.74,3.54
1705,0.44,Ideal,G,61.8,56.0,1155,4.94,4.9,3.04
1706,0.38,Ideal,H,61.4,57.0,1069,4.65,4.63,2.85
1707,0.33,Premium,H,60.4,60.0,521,4.48,4.52,2.72
1708,0.7,Very Good,E,61.5,60.0,2263,5.65,5.7,3.49
1709,0.71,Very Good,D,59.7,60.0,2123,5.79,5.84,3.47
1710,0.92,Premium,D,59.4,59.0,3877,6.39,6.28,3.76
1711,0.32,Ideal,G,61.9,56.0,1080,4.4,4.39,2.72
1712,1.22,Premium,G,58.3,61.0,5436,7.0,6.92,4.06
1713,1.04,Very Good,I,61.9,58.0,4426,6.45,6.47,4.0
1714,2.33,Ideal,I,62.4,57.0,15073,8.52,8.47,5.31
1715,1.01,Very Good,I,60.9,63.0,2323,6.51,6.43,3.94
1716,1.61,Premium,H,62.5,58.0,12242,7.57,7.46,4.7
1717,1.51,Very Good,H,61.7,61.0,9218,7.3,7.35,4.52
1718,1.06,Premium,H,62.0,58.0,5889,6.57,6.5,4.05
1719,0.31,Premium,H,62.6,60.0,802,4.33,4.29,2.7
1720,1.29,Very Good,J,61.2,58.0,5209,6.97,7.02,4.28
1721,0.28,Very Good,I,61.9,57.0,379,4.16,4.19,2.58
1722,0.31,Very Good,F,60.7,58.0,516,4.35,4.38,2.65
1723,1.55,Ideal,D,62.5,55.0,17441,7.38,7.43,4.63
1724,0.71,Very Good,E,61.6,59.0,3464,5.65,5.72,3.5
1725,1.07,Premium,G,61.6,58.0,5453,6.6,6.56,4.05
1726,0.3,Ideal,E,61.3,54.0,837,4.34,4.37,2.67
1727,1.2,Premium,E,61.4,56.0,11435,6.94,6.83,4.23
1728,0.31,Very Good,F,60.9,56.0,675,4.37,4.38,2.66
1729,1.54,Very Good,G,59.4,60.0,15444,7.55,7.61,4.5
1730,1.51,Good,H,59.9,64.0,7340,7.53,7.39,4.47
1731,0.7,Premium,H,62.2,58.0,2074,5.69,5.72,3.55
1732,0.78,Very Good,J,58.0,61.0,2164,6.07,6.13,3.54
1733,0.53,Good,I,64.3,55.0,1315,5.17,5.13,3.31
1734,0.53,Ideal,H,62.5,56.0,1412,5.19,5.15,3.23
1735,1.15,Very Good,H,61.4,58.0,4418,6.7,6.75,4.13
1736,1.02,Very Good,H,61.0,59.0,5455,6.48,6.53,3.97
1737,0.52,Ideal,E,61.9,56.0,1299,5.17,5.19,3.2
1738,1.23,Ideal,H,60.6,56.0,6199,6.94,6.92,4.2
1739,1.5,Good,H,64.2,56.0,8749,7.3,7.09,4.62
1740,0.25,Very Good,D,60.8,60.0,388,4.07,4.09,2.48
1741,0.5,Very Good,E,61.3,59.0,1624,5.05,5.1,3.11
1742,1.51,Good,D,64.1,61.0,8550,7.14,7.18,4.59
1743,2.0,Premium,J,62.0,62.0,11793,8.02,7.91,4.94
1744,0.7,Ideal,I,62.7,57.0,2163,5.63,5.67,3.54
1745,0.4,Ideal,E,62.4,58.0,1250,4.7,4.72,2.94
1746,1.23,Premium,I,62.4,58.0,5269,6.86,6.82,4.27
1747,1.22,Premium,E,62.3,59.0,7395,6.8,6.74,4.22
1748,0.38,Premium,E,60.7,59.0,1069,4.73,4.69,2.86
1749,0.41,Ideal,J,60.2,57.0,647,4.81,4.85,2.91
1750,0.9,Good,F,62.6,57.0,4466,6.07,6.19,3.84
1751,0.72,Ideal,H,61.6,55.0,3133,5.76,5.8,3.56
1752,0.55,Ideal,H,61.7,55.0,1845,5.27,5.3,3.27
1753,0.7,Very Good,F,63.4,56.0,2455,5.69,5.63,3.59
1754,1.02,Premium,E,61.6,60.0,6580,6.51,6.42,3.98
1755,0.38,Ideal,E,61.6,56.0,1000,4.62,4.66,2.86
1756,0.43,Ideal,E,62.2,57.0,1048,4.84,4.8,3.0
1757,0.57,Ideal,G,61.4,55.0,1972,5.34,5.38,3.29
1758,0.46,Ideal,G,61.6,54.0,1558,4.97,5.0,3.07
1759,0.39,Ideal,I,60.8,56.0,698,4.72,4.75,2.88
1760,0.7,Good,D,60.4,63.0,3107,5.73,5.76,3.47
1761,1.01,Premium,F,58.3,58.0,3897,6.56,6.55,3.82
1762,0.31,Ideal,I,61.0,57.0,452,4.37,4.38,2.67
1763,1.26,Ideal,E,61.1,57.0,14300,7.0,6.98,4.27
1764,0.38,Ideal,I,61.6,56.0,554,4.65,4.67,2.87
1765,0.5,Premium,D,61.3,61.0,1980,5.1,5.04,3.11
1766,0.4,Ideal,G,61.7,57.0,967,4.75,4.78,2.94
1767,0.61,Good,F,62.5,65.0,3807,5.36,5.29,3.33
1768,0.36,Very Good,G,61.8,60.0,537,4.53,4.57,2.81
1769,0.23,Good,G,63.8,56.0,428,3.94,3.9,2.5
1770,0.98,Very Good,H,59.9,60.0,4826,6.45,6.38,3.84
1771,0.91,Ideal,H,62.0,56.0,4337,6.19,6.22,3.85
1772,0.32,Ideal,F,61.7,56.0,720,4.44,4.41,2.73
1773,0.32,Ideal,E,61.8,56.0,825,4.4,4.43,2.73
1774,1.54,Premium,J,62.4,59.0,9215,7.36,7.38,4.6
1775,1.06,Premium,I,58.4,58.0,4007,6.7,6.65,3.9
1776,0.73,Ideal,I,60.7,56.0,2397,5.85,5.81,3.54
1777,1.28,Premium,H,59.9,59.0,6580,7.05,7.08,4.23
1778,1.54,Ideal,H,61.8,57.0,6095,7.43,7.35,4.57
1779,0.31,Ideal,G,62.9,57.0,802,4.32,4.3,2.71
1780,2.12,Premium,H,61.5,59.0,13460,8.26,8.21,5.06
1781,0.71,Premium,F,61.8,59.0,2790,5.73,5.69,3.53
1782,0.41,Very Good,D,60.3,63.0,920,4.8,4.78,2.89
1783,0.31,Very Good,G,63.2,56.0,802,4.29,4.28,2.71
1784,1.1,Good,I,63.7,59.0,4497,6.56,6.5,4.16
1785,0.47,Ideal,D,60.3,57.0,1270,5.02,5.07,3.04
1786,2.11,Ideal,H,60.0,56.0,12226,8.43,8.35,5.03
1787,0.53,Ideal,D,61.5,56.0,1956,5.23,5.17,3.2
1788,0.54,Ideal,H,62.0,54.0,1065,5.23,5.28,3.26
1789,0.31,Premium,E,60.0,59.0,872,4.39,4.35,2.62
1790,1.1,Premium,H,63.0,58.0,4916,6.6,6.55,4.14
1791,0.71,Very Good,F,61.6,59.0,2326,5.7,5.76,3.53
1792,0.31,Ideal,F,61.1,57.0,914,4.37,4.4,2.68
1793,0.35,Ideal,H,61.9,55.0,541,4.54,4.57,2.82
1794,0.77,Ideal,D,60.8,57.0,3251,5.94,5.9,3.6
1795,1.1,Ideal,F,61.2,56.0,10487,6.66,6.74,4.1
1796,1.31,Ideal,F,61.9,54.0,10957,7.03,7.06,4.35
1797,0.8,Ideal,E,61.4,56.0,3972,5.97,6.02,3.68
1798,0.52,Fair,E,57.2,64.0,2079,5.27,5.36,3.04
